paper_id,year,volume,issue,batch_id,title,first_author,n_authors,pages,doi,record_type,formalism,citation_integrity,structural_integrity,artifact_availability,intellectual_integrity,composite,final,classification,disqualified,flags
depasquale2010,2010,13,1,2010-v13-n1,Nickel MEMS Energy Harvesters for the Self-Powering of Vehicular Sensing Systems,Giorgio De Pasquale,2,3-21,,research,85,90,85,60,86.75,80.06,80.06,STRONG,False,
bozanic2010,2010,13,1,2010-v13-n1,Streamlined Design of SiGe Based Power Amplifiers,Mladen Bozanic,3,22-32,,research,85,95,85,50,88.5,78.88,78.88,ADEQUATE,False,
spinelli2010,2010,13,1,2010-v13-n1,A Simulation Tool for the Evaluation of the Performances of A Nanointerconnect Based on SWCNT,Biagio De Vivo,4,33-48,,research,80,90,85,60,84.75,78.56,78.56,ADEQUATE,False,
iliescu2010,2010,13,1,2010-v13-n1,3D Dielectrophoretic Chips: Trapping and Separation of Cell Populations,Ciprian Iliescu,4,49-64,,research,80,85,85,70,83.0,79.75,79.75,ADEQUATE,False,
dragoi2010,2010,13,1,2010-v13-n1,Metal Wafer Bonding for MEMS Devices,Viorel Dragoi,3,65-72,,research,90,95,80,30,89.25,74.44,74.44,ADEQUATE,False,
goras2010,2010,13,1,2010-v13-n1,Spatial Filtering Using Analog Parallel Architectures and Their Log-Domain Implementation,Liviu Goras,2,73-83,,research,80,85,80,50,81.75,73.81,73.81,ADEQUATE,False,
weststrate2010,2010,13,1,2010-v13-n1,Design Trade-offs and Limitations of a LC-Ladder and Capacitive Feedback LNA and its Application at mm-Wave Frequencies,Marnus Weststrate,3,98-107,,research,85,90,85,50,86.75,77.56,77.56,ADEQUATE,False,
adorna2010,2010,13,2,2010-v13-n2,On Communication Complexity in Evolution-Communication P Systems,Henry Adorna,3,113-130,,research,90,95,90,30,91.75,76.31,76.31,ADEQUATE,False,
christinal2010,2010,13,2,2010-v13-n2,Thresholding 2D Images with Cell-like P Systems,Hepzibah A. Christinal,4,131-140,,research,85,95,85,30,88.5,73.88,73.88,ADEQUATE,False,
diazpernil2010,2010,13,2,2010-v13-n2,Computing Homology Groups in Binary 2D Imagery by Tissue-like P Systems,Daniel Diaz-Pernil,4,141-152,,research,90,95,90,30,91.75,76.31,76.31,ADEQUATE,False,
